Time_s,C3_Left_V,C3_Right_V,C4_Left_V,C4_Right_V
-0.316,-1.5140282647550133e-06,-1.071478835338e-07,1.237750907454127e-07,-7.838817644946743e-07
-0.312,-2.5668648729378975e-06,5.585998338274113e-07,-9.883729358716233e-07,-2.2692032693741053e-07
-0.308,-3.17310275350349e-06,1.1813823676537457e-06,-1.714639451627658e-06,3.560544940278379e-07
-0.304,-3.3620785199485923e-06,1.6943871455664252e-06,-1.8926711466272949e-06,7.585433402555864e-07
-0.3,-3.354735052012052e-06,2.047892124011934e-06,-1.7251870456499347e-06,9.106690632730336e-07
-0.296,-3.328542655321423e-06,2.2194392896867607e-06,-1.5595200348663376e-06,8.977560569552231e-07
-0.292,-3.2358216376905254e-06,2.2199649515237153e-06,-1.588757544219981e-06,8.893867676397918e-07
-0.288,-2.8069887349034568e-06,2.0930795180556813e-06,-1.6802263436598446e-06,1.0287325171976224e-06
-0.284,-1.742990869003628e-06,1.8960700643191722e-06,-1.4533186077848347e-06,1.3420373962701941e-06
-0.28,3.031625646469595e-08,1.6712496485452799e-06,-5.563516254040518e-07,1.7204684647821007e-06
-0.276,2.215442480526494e-06,1.4237659325146315e-06,1.0368541050537055e-06,1.9821198701061666e-06
-0.272,4.215589108493746e-06,1.1204690713817887e-06,2.915455080166361e-06,1.97095720618883e-06
-0.268,5.398611708144981e-06,7.130639102912554e-07,4.394977584123282e-06,1.6346254607294997e-06
-0.264,5.400276372298984e-06,1.7612094165550836e-07,4.861701219535733e-06,1.0404633604114635e-06
-0.26,4.298777958580887e-06,-4.6090106819294237e-07,4.103316533385018e-06,3.268826874702479e-07
-0.256,2.564356996785543e-06,-1.11337466659127e-06,2.4285320381973694e-06,-3.7943922403033506e-07
-0.252,8.20741824844622e-07,-1.6694811216227135e-06,5.071323951050202e-07,-1.0203721746227152e-06
-0.248,-4.376996546745009e-07,-2.0361064688533167e-06,-9.69391717262543e-07,-1.6078027362617618e-06
-0.244,-1.0272095658389389e-06,-2.173860663422739e-06,-1.6162090486941635e-06,-2.169833979866517e-06
-0.24,-1.0721198384448903e-06,-2.102880063533891e-06,-1.4882878130992364e-06,-2.6813729444145354e-06
-0.236,-8.539418787256808e-07,-1.8885024125880864e-06,-9.649690178905014e-07,-3.038852387444211e-06
-0.232,-6.290445088146547e-07,-1.6116456223026657e-06,-4.843416536965001e-07,-3.0980164285490536e-06
-0.228,-5.17363927388705e-07,-1.3422972117653728e-06,-2.9232473804948297e-07,-2.7565591933682943e-06
-0.224,-5.023662917547724e-07,-1.1306718773833806e-06,-3.470868043373228e-07,-2.0360281685561603e-06
-0.22,-5.130284771914929e-07,-1.0095860229413837e-06,-4.1938499663010337e-07,-1.1063364664811558e-06
-0.216,-5.132497562442911e-07,-9.926748182190418e-07,-3.0292653750255054e-07,-2.2713754570856767e-07
-0.212,-5.280445043325484e-07,-1.06431285751829e-06,1.9069836906200398e-08,3.6538782517075985e-07
-0.208,-6.053416883528777e-07,-1.1656512409257529e-06,3.537594960449861e-07,5.680287479133031e-07
-0.204,-7.623073921510316e-07,-1.1946102563180932e-06,4.223024876892501e-07,4.543464783420438e-07
-0.2,-9.643824091317533e-07,-1.0310554985974664e-06,4.257745714486983e-08,2.294357342155502e-07
-0.196,-1.1508925771747576e-06,-5.857777883686355e-07,-7.454680371119086e-07,1.2335411453437728e-07
-0.192,-1.2827237153979964e-06,1.5282291148507985e-07,-1.6891131201900172e-06,2.862548569582815e-07
-0.188,-1.364871089047193e-06,1.0950853410606761e-06,-2.4497604241988484e-06,7.324892991306717e-07
-0.184,-1.4161671833306795e-06,2.069864562843122e-06,-2.7611389874142607e-06,1.3595950691522255e-06
-0.18,-1.4114884606998695e-06,2.8808612588764776e-06,-2.5320555294615756e-06,2.0169188801480715e-06
-0.176,-1.2550231199983956e-06,3.368872374389517e-06,-1.8512278043693835e-06,2.570010652488486e-06
-0.172,-8.211401667243516e-07,3.460873787501136e-06,-9.115874717137382e-07,2.933548587282494e-06
-0.168,-5.214996545770051e-08,3.178503059271222e-06,8.480329653667052e-08,3.0582087278576605e-06
-0.164,9.391989716449624e-07,2.613574963094227e-06,9.763273216451416e-07,2.9038302274378446e-06
-0.16,1.8522157795807694e-06,1.8857177155349286e-06,1.6445726190258023e-06,2.4292492660499637e-06
-0.156,2.3061882711340455e-06,1.1046692804126553e-06,2.0007153829280405e-06,1.6151258620182106e-06
-0.152,2.031560966239531e-06,3.513258566249471e-07,1.9878229208247394e-06,5.062214899205524e-07
-0.148,1.046835938138133e-06,-3.2458664858902e-07,1.6207434028005362e-06,-7.632749615450433e-07
-0.144,-2.927406108115216e-07,-8.995399932955603e-07,1.0279765815886132e-06,-1.989238329060179e-06
-0.14,-1.4223123133603024e-06,-1.362295363669157e-06,4.473619722968014e-07,-2.9513804191678066e-06
-0.136,-1.8201453871888527e-06,-1.705979839117504e-06,1.4980634634266744e-07,-3.483781822922443e-06
-0.132,-1.260144572235288e-06,-1.9192352966332087e-06,3.129310034101184e-07,-3.5188595450766006e-06
-0.128,7.414276971884985e-08,-1.9796386643803014e-06,9.186826593526943e-07,-3.089156658301491e-06
-0.124,1.6691435395313737e-06,-1.8571909575972375e-06,1.7339808961159628e-06,-2.2951969080334047e-06
-0.12,2.9184096449653284e-06,-1.5341032547313975e-06,2.403097691627393e-06,-1.269113112498604e-06
-0.116,3.3915748196566653e-06,-1.0422719930494706e-06,2.611653008743359e-06,-1.6468977090131036e-07
-0.112,2.991916824532303e-06,-4.915477831608363e-07,2.2297230032448536e-06,8.370312363101979e-07
-0.108,1.9447909137376848e-06,-6.536043748003587e-08,1.3630712026890224e-06,1.5314423303676357e-06
-0.104,6.395591789117129e-07,3.475415475992992e-08,2.8075730669662277e-07,1.7302060693060259e-06
-0.1,-5.691362208966875e-07,-3.1597651364465243e-07,-7.314991048767574e-07,1.3389749368969335e-06
-0.096,-1.4875426036417787e-06,-1.0755291832538215e-06,-1.500134296385184e-06,4.340947200074506e-07
-0.092,-2.0924544648288788e-06,-2.0012186683146757e-06,-2.012359057491569e-06,-7.12886459212402e-07
-0.088,-2.451711864727995e-06,-2.713624417847661e-06,-2.367986630227807e-06,-1.7063495862785963e-06
-0.084,-2.6291065005373774e-06,-2.84027736383588e-06,-2.6774575826561704e-06,-2.172881648342187e-06
-0.08,-2.6384999686576293e-06,-2.184908496742326e-06,-2.972126042647954e-06,-1.9237178710484325e-06
-0.076,-2.4680779366718116e-06,-8.384690580374918e-07,-3.182401898817196e-06,-1.0456706517274604e-06
-0.072,-2.1306369442309937e-06,8.336099075524898e-07,-3.1824315415706556e-06,1.3453879729182052e-07
-0.068,-1.6898774983024206e-06,2.3280092572410054e-06,-2.865585745045053e-06,1.1958227655679476e-06
-0.064,-1.2355364329875651e-06,3.208293359300441e-06,-2.2048899110599727e-06,1.8096277770517699e-06
-0.06,-8.206907569862466e-07,3.2825096612550955e-06,-1.2614794827450195e-06,1.8724061824573265e-06
-0.056,-4.1491355426424175e-07,2.6655741951444916e-06,-1.5020310549717353e-07,1.5168582693704623e-06
-0.052,7.575560812020112e-08,1.7039662341760501e-06,9.976091180953764e-07,1.010586778268529e-06
-0.048,7.256685362640695e-07,8.057451812721648e-07,2.049944289491618e-06,6.055335785374959e-07
-0.044,1.5000387504064278e-06,2.63612066673031e-07,2.874355242080196e-06,4.260569327253226e-07
-0.04,2.2208934324431004e-06,1.5712461927085072e-07,3.3393836803438973e-06,4.511956647473596e-07
-0.036,2.6314923038516512e-06,3.6765879700557144e-07,3.344693519542775e-06,5.80337317384553e-07
-0.032,2.534429021221152e-06,6.815622534295877e-07,2.8761028958302633e-06,7.254946196770801e-07
-0.028,1.924167947050737e-06,9.095682556514556e-07,2.0523394882548137e-06,8.600570072147555e-07
-0.024,1.0261416978355192e-06,9.597076885294405e-07,1.1178976544982213e-06,9.971342974051773e-07
-0.02,2.108180122412268e-07,8.395291699103885e-07,3.687577709761761e-07,1.1249804084146625e-06
-0.016,-1.8417584749147255e-07,6.000492809816435e-07,2.990191321132453e-08,1.1528870927706208e-06
-0.012,-3.0695518478703235e-08,2.7588197732321256e-07,1.4404909298445008e-07,9.235150624434937e-07
-0.008,5.162755079018561e-07,-1.374416300764284e-07,5.413684633304399e-07,2.9649894767764937e-07
-0.004,1.0879014175055715e-06,-6.596901702664715e-07,9.098199221885283e-07,-7.440220429274322e-07
0.0,1.2853491332704513e-06,-1.2784167117659275e-06,9.436453611016722e-07,-2.0248157506157267e-06
0.004,8.791030907155295e-07,-1.918485746745824e-06,4.927679933318797e-07,-3.213671574135466e-06
0.008,-7.990382482761801e-08,-2.450815736965341e-06,-3.632000301727283e-07,-3.939719661747469e-06
0.012,-1.2900419435802912e-06,-2.73946769036164e-06,-1.3546494513423858e-06,-3.949634623443682e-06
0.016,-2.346122484336186e-06,-2.697769758678181e-06,-2.1528634337440392e-06,-3.218679853311544e-06
0.02,-2.9218254394172317e-06,-2.320108666557213e-06,-2.519074281109341e-06,-1.9599218449615977e-06
0.024,-2.896268287290555e-06,-1.6764800479988461e-06,-2.397275252492947e-06,-5.315959005955879e-07
0.028,-2.3715905628047047e-06,-8.757271832679784e-07,-1.9116039359501304e-06,7.118179698113128e-07
0.032,-1.5884892773775313e-06,-3.1981106803780766e-08,-1.279873381839399e-06,1.5439497048191237e-06
0.036,-8.027173997895949e-07,7.495662084837522e-07,-7.058261451284651e-07,1.9156509568767055e-06
0.04,-1.881431184236923e-07,1.3705848575007342e-06,-3.033729367092535e-07,1.920738310795059e-06
0.044,1.9484318130999202e-07,1.737227362655143e-06,-8.261599053633248e-08,1.7114664756754074e-06
0.048,3.729492210285116e-07,1.7774048796182764e-06,1.182096136059121e-08,1.4182650962047751e-06
0.052,4.1406082322370194e-07,1.4754437296595888e-06,5.115467619218177e-08,1.1110127532022645e-06
0.056,3.920314274803905e-07,9.075369930990363e-07,9.142946998822333e-08,8.102380475228443e-07
0.06,3.8028657997938063e-07,2.457925850971472e-07,1.7509829925161378e-07,5.237022273996872e-07
0.064,4.533777578140174e-07,-2.9111009280514535e-07,3.433644713673114e-07,2.7297170156142166e-07
